app_user,table,in_csv,in_sql,status
dnd_app_user,eqms_bom_upload,YES,YES,MATCHED
dnd_app_user,eqms_bom_upload_error_log,YES,YES,MATCHED
dnd_app_user,eqms_bom_upload_error_log_history,YES,YES,MATCHED
dnd_app_user,eqms_bom_upload_history,YES,YES,MATCHED
dnd_app_user,eqms_bom_upload_supporting_files,YES,YES,MATCHED
dnd_app_user,eqms_bom_upload_supporting_files_history,YES,YES,MATCHED
dnd_app_user,eqms_bom_variant_master,YES,YES,MATCHED
dnd_app_user,eqms_bom_variant_master_history,YES,YES,MATCHED
dnd_app_user,eqms_clause_lk,YES,YES,MATCHED
dnd_app_user,eqms_component_record,YES,YES,MATCHED
dnd_app_user,eqms_concept_status_lk,YES,YES,MATCHED
dnd_app_user,eqms_conflicting_dir,YES,YES,MATCHED
dnd_app_user,eqms_conflicting_dir_history,YES,YES,MATCHED
dnd_app_user,eqms_context_types,YES,YES,MATCHED
dnd_app_user,eqms_cost_heading_lk,YES,YES,MATCHED
dnd_app_user,eqms_decision_lk,YES,YES,MATCHED
dnd_app_user,eqms_default_template_master,YES,YES,MATCHED
dnd_app_user,eqms_design_input_gathering,YES,YES,MATCHED
dnd_app_user,eqms_design_input_gathering_history,YES,YES,MATCHED
dnd_app_user,eqms_design_input_requirement,YES,YES,MATCHED
dnd_app_user,eqms_design_input_requirement_history,YES,YES,MATCHED
dnd_app_user,eqms_design_installation_procedure,YES,YES,MATCHED
dnd_app_user,eqms_design_installation_procedure_equipment,YES,YES,MATCHED
dnd_app_user,eqms_design_installation_procedure_equipment_history,YES,YES,MATCHED
dnd_app_user,eqms_design_installation_procedure_history,YES,YES,MATCHED
dnd_app_user,eqms_design_installation_procedure_skill,YES,YES,MATCHED
dnd_app_user,eqms_design_installation_procedure_skill_history,YES,YES,MATCHED
dnd_app_user,eqms_design_installation_procedure_supporting_files,YES,YES,MATCHED
dnd_app_user,eqms_design_installation_procedure_supporting_files_history,YES,YES,MATCHED
dnd_app_user,eqms_design_installation_procedure_tool,YES,YES,MATCHED
dnd_app_user,eqms_design_installation_procedure_tool_history,YES,YES,MATCHED
dnd_app_user,eqms_design_review_attended_members,YES,YES,MATCHED
dnd_app_user,eqms_design_review_attended_members_history,YES,YES,MATCHED
dnd_app_user,eqms_design_review_report_documents,YES,YES,MATCHED
dnd_app_user,eqms_design_review_report_documents_history,YES,YES,MATCHED
dnd_app_user,eqms_design_specification_type_lk,YES,YES,MATCHED
dnd_app_user,eqms_design_stage_item_lk,YES,YES,MATCHED
dnd_app_user,eqms_design_stage_lk,YES,YES,MATCHED
dnd_app_user,eqms_design_stage_type_lk,YES,YES,MATCHED
dnd_app_user,eqms_design_transfer_acknowledgement,YES,YES,MATCHED
dnd_app_user,eqms_design_transfer_acknowledgement_checklist_mapper,YES,YES,MATCHED
dnd_app_user,eqms_design_transfer_acknowledgement_checklist_mapper_history,YES,YES,MATCHED
dnd_app_user,eqms_design_transfer_acknowledgement_history,YES,YES,MATCHED
dnd_app_user,eqms_design_transfer_applicability,YES,YES,MATCHED
dnd_app_user,eqms_design_transfer_applicability_history,YES,YES,MATCHED
dnd_app_user,eqms_design_transfer_checklist_lk,YES,YES,MATCHED
dnd_app_user,eqms_design_transfer_checklist_template_mapper_lk,YES,YES,MATCHED
dnd_app_user,eqms_design_transfer_documents,YES,YES,MATCHED
dnd_app_user,eqms_design_transfer_documents_history,YES,YES,MATCHED
dnd_app_user,eqms_design_transfer_manufacturing_actions,YES,YES,MATCHED
dnd_app_user,eqms_design_transfer_manufacturing_actions_history,YES,YES,MATCHED
dnd_app_user,eqms_device_lk,YES,YES,MATCHED
dnd_app_user,eqms_device_lk_history,YES,YES,MATCHED
dnd_app_user,eqms_dig_indication_of_use,YES,YES,MATCHED
dnd_app_user,eqms_dig_indication_of_use_history,YES,YES,MATCHED
dnd_app_user,eqms_dig_intended_population,YES,YES,MATCHED
dnd_app_user,eqms_dig_intended_population_history,YES,YES,MATCHED
dnd_app_user,eqms_dig_intended_users,YES,YES,MATCHED
dnd_app_user,eqms_dig_intended_users_history,YES,YES,MATCHED
dnd_app_user,eqms_dig_specification,YES,YES,MATCHED
dnd_app_user,eqms_dig_specification_country_mapper,YES,YES,MATCHED
dnd_app_user,eqms_dig_specification_country_mapper_history,YES,YES,MATCHED
dnd_app_user,eqms_dig_specification_functional_block_mapper,YES,YES,MATCHED
dnd_app_user,eqms_dig_specification_functional_block_mapper_history,YES,YES,MATCHED
dnd_app_user,eqms_dig_specification_history,YES,YES,MATCHED
dnd_app_user,eqms_dig_specification_mapper,YES,YES,MATCHED
dnd_app_user,eqms_dig_specification_mapper_history,YES,YES,MATCHED
dnd_app_user,eqms_dig_specification_model_mapper,YES,YES,MATCHED
dnd_app_user,eqms_dig_specification_model_mapper_history,YES,YES,MATCHED
dnd_app_user,eqms_dig_specification_usability_type_mapper,YES,YES,MATCHED
dnd_app_user,eqms_dig_use_environments,YES,YES,MATCHED
dnd_app_user,eqms_dig_use_environments_history,YES,YES,MATCHED
dnd_app_user,eqms_dir_adequacy_report,YES,YES,MATCHED
dnd_app_user,eqms_dir_adequacy_report_history,YES,YES,MATCHED
dnd_app_user,eqms_dir_declaration,YES,YES,MATCHED
dnd_app_user,eqms_dir_declaration_history,YES,YES,MATCHED
dnd_app_user,eqms_dir_reference_dirs,YES,YES,MATCHED
dnd_app_user,eqms_dir_reference_dirs_history,YES,YES,MATCHED
dnd_app_user,eqms_dir_supporting_document,YES,YES,MATCHED
dnd_app_user,eqms_dir_supporting_document_history,YES,YES,MATCHED
dnd_app_user,eqms_dnd_document_lk,YES,YES,MATCHED
dnd_app_user,eqms_document,YES,YES,MATCHED
dnd_app_user,eqms_document_history,YES,YES,MATCHED
dnd_app_user,eqms_document_template,YES,YES,MATCHED
dnd_app_user,eqms_document_template_form_mapping,YES,YES,MATCHED
dnd_app_user,eqms_document_template_form_mapping_history,YES,YES,MATCHED
dnd_app_user,eqms_document_template_history,YES,YES,MATCHED
dnd_app_user,eqms_document_template_type_lk,YES,YES,MATCHED
